V0,P0,Seed,Closure Time,Traction,Strain
0.0,3.0,1,73.2,0.1916104166235911,0.005140801458369915
0.0,3.0,2,74.4,0.19946652102082985,0.005937855479423969
0.0,3.0,3,87.60000000000002,0.17569971135696086,0.004702384833313292
0.0,3.0,4,118.80000000000001,0.14268110452554889,0.0037496888811232526
0.0,3.0,5,76.80000000000001,0.18655951639811327,0.005272799267311801
0.0,3.2,1,68.4,0.1904343381031484,0.005111974632198766
0.0,3.2,2,63.6,0.19698101675287683,0.004879747748033275
0.0,3.2,3,94.80000000000001,0.16548837008737718,0.004771509616358885
0.0,3.2,4,69.60000000000001,0.18226112021685034,0.004670237006560663
0.0,3.2,5,75.60000000000001,0.18028810047379074,0.0047877229670494435
0.0,3.4,1,62.400000000000006,0.19515381187784836,0.0051455618821401134
0.0,3.4,2,56.400000000000006,0.18806540981191078,0.004323977311781153
0.0,3.4,3,56.400000000000006,0.19400064415668647,0.004966656010931085
0.0,3.4,4,58.80000000000001,0.1955925741451533,0.004875524985732129
0.0,3.4,5,52.800000000000004,0.20632176200296037,0.005479559514456095
0.0,3.6,1,76.80000000000001,0.1625455583723668,0.003611554171029749
0.0,3.6,2,57.60000000000001,0.18655477241543575,0.004498812783345797
0.0,3.6,3,62.400000000000006,0.18455646964068428,0.004842741129391127
0.0,3.6,4,80.4,0.16927972506638891,0.004225810865166095
0.0,3.6,5,50.4,0.19905862121933834,0.004996093406369709
0.0,3.8,1,55.2,0.1839748730688012,0.004865291196565615
0.0,3.8,2,61.2,0.17756968335197035,0.004453521963426459
0.0,3.8,3,55.2,0.17778355078523106,0.003919676734118314
0.0,3.8,4,58.80000000000001,0.16528711984759206,0.003968658200113111
0.0,3.8,5,55.2,0.17106566710606497,0.0037834027365977697
0.0,4.0,1,51.6,0.17542383917558949,0.00398969088521666
0.0,4.0,2,56.400000000000006,0.1572110642420989,0.003605594949604418
0.0,4.0,3,51.6,0.15761575093122923,0.003504917590948573
0.0,4.0,4,55.2,0.16680783462451954,0.004067053678037599
0.0,4.0,5,52.800000000000004,0.17718363335070167,0.004717116283269357
10.0,3.0,1,72.0,0.23536890952072292,0.006968213639810256
10.0,3.0,2,73.2,0.22648581285412042,0.006378229660988089
10.0,3.0,3,96.00000000000001,0.20500077808182596,0.0054510312721098445
10.0,3.0,4,82.80000000000001,0.22830321348035534,0.006417504263829639
10.0,3.0,5,73.2,0.24176256075677346,0.00728794296705923
10.0,3.2,1,68.4,0.23170651028319103,0.0057053205790060894
10.0,3.2,2,58.80000000000001,0.24211032023977655,0.006295247957686997
10.0,3.2,3,64.80000000000001,0.23814664373499683,0.006569185433936627
10.0,3.2,4,58.80000000000001,0.2558809403874672,0.006897398210065378
10.0,3.2,5,57.60000000000001,0.25679983500443515,0.006890193544987356
10.0,3.4,1,58.80000000000001,0.24361575679306316,0.006123531222836593
10.0,3.4,2,64.80000000000001,0.23721790859115666,0.005815049093993634
10.0,3.4,3,78.0,0.22627043994725704,0.005557845337233962
10.0,3.4,4,76.80000000000001,0.22398998050878907,0.00561562185141288
10.0,3.4,5,46.800000000000004,0.25981987782768473,0.006622627303400639
10.0,3.6,1,50.4,0.25252126905558686,0.006160008257337869
10.0,3.6,2,73.2,0.23414444165786188,0.006090888504902594
10.0,3.6,3,55.2,0.24318433548528717,0.0058074053024859094
10.0,3.6,4,63.6,0.24013047905539053,0.005989919101263695
10.0,3.6,5,50.4,0.2577783321770543,0.00643675896110342
10.0,3.8,1,51.6,0.2507091377039684,0.006267709806800783
10.0,3.8,2,52.800000000000004,0.25247343783542153,0.006737098693478999
10.0,3.8,3,54.0,0.23640279255039787,0.00596380596729362
10.0,3.8,4,67.2,0.2274791427702861,0.005137209566465399
